US Node ID 2012,DS Node ID  2012,Link Type 2012,System Type 2012,Conduit Material 2012,Site Condition 2012,Ground Condition 2012,Shape ID 2012,Conduit Width 2012,Conduit Height 2012,Bottom Roughness 2012,Top Roughness 2012,Conduit Length 2012 (ft),US Invert Level 2012 (ft),DS Invert Level 2012 (ft)
C53.005,C53.004,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,2692.298451,0.015,0.015,1005.298223,-5.3,-5.69
BR27.01,BR26.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,408.841343,-5.298,-6.668
TG60A,R60,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,609.6000115,609.6000115,0.015,0.015,58.6925609,-5.252,-7
C57.001,R57,Cond,combined,UNKN,ROAD,SUBURBS,EGG,710.1840134,1066.80002,0.015,0.015,294.355734,-5.2,-6.43
BR29.01,BR30.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,316.4582488,-5.138,-6.448
R50.01,R48.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1066.80002,1066.80002,0.015,0.015,942.7429888,-5.058,-6.798
BR35.01,R35.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,609.6000115,609.6000115,0.015,0.015,187.2944832,-5.028,-6.208
BR15.01,R15.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,457.2000086,457.2000086,0.015,0.015,275.403555,-4.918,-7.558
C67.001,R67,Cond,combined,UNKN,ROAD,SUBURBS,RECT,4572.000086,2794.000053,0.015,0.015,443.1539171,-4.9,-5.75
C67.001,R67,Cond,combined,UNKN,ROAD,SUBURBS,RECT,4572.000086,2794.000053,0.015,0.015,443.1539171,-4.9,-5.75
BR65.01,39-MH07,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,685.8000129,685.8000129,0.015,0.015,129.0233048,-4.77,-5.57
39402,C53.005,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,2692.298451,0.015,0.015,679.3287689,-4.7,-5.3
97,R24,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3657.600069,2438.400046,0.015,0.015,507.6655695,-4.632,-5.108
9,R58,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3657.600069,1905.000036,0.015,0.015,131.3308756,-4.6,-5.05
C67.002,C67.001,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3962.400074,2616.200049,0.015,0.015,626.9569454,-4.48,-4.9
C67.002,C67.001,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3962.400074,2616.200049,0.015,0.015,626.9569454,-4.48,-4.9
WI02A-003,RW02-003,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2590.800049,2133.60004,0.015,0.015,58.19091508,-4.458,-4.918
391937,R38,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,2743.200052,0.015,0.015,318.0434496,-4.408,-4.728
BR40.01,R40.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,233.044582,-4.398,-5.158
BR33.01,R33.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,381.0000072,381.0000072,0.015,0.015,215.6575379,-4.278,-6.478
13,E138thSt_NYCentralRaiRd,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1828.800034,2082.800039,0.015,0.015,116.4910083,-4.26,-4.49
C41.001,R41,Cond,combined,UNKN,ROAD,SUBURBS,RECT,813.8160153,1219.200023,0.015,0.015,374.8197235,-4.258,-4.818
BR34.01,R34.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,157.9582357,-4.238,-5.258
R20c,BR21.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,205.2389858,-4.205862293,-6.048
BR28.01,BR27.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,332.2901909,-4.158,-5.298
C23.001,R23,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,1828.800034,0.015,0.015,661.0395739,-4.118,-4.288
C23.001,R23,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,1828.800034,0.015,0.015,661.0395739,-4.118,-4.288
C19.001,R19,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1600.20003,1600.20003,0.015,0.015,463.4204082,-4.088,-4.548
1,R75,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2590.800049,2133.60004,0.015,0.015,2110.613168,-4.07,-5.8
C60.001,R60,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2590.800049,0.015,0.015,604.4832126,-4.06,-5.38
BR18.01,BR21.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,319.4480579,-4.038,-6.048
39893,R46,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2743.200052,2895.600054,0.015,0.015,351.4734903,-4.008,-4.858
C16.001,R16,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2590.800049,1600.20003,0.015,0.015,108.1749045,-3.978,-4.308
C70.001,R70,Cond,combined,UNKN,ROAD,SUBURBS,EGG,847.3440159,1271.016024,0.015,0.015,360.0813693,-3.96,-4.67
C38.001,391937,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,2743.200052,0.015,0.015,148.2865043,-3.938,-4.338
C69.001,R69,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1524.000029,1524.000029,0.015,0.015,411.6505596,-3.92,-4.75
R51.03,R50.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,914.4000172,914.4000172,0.015,0.015,853.2995392,-3.818,-5.058
39351,C38.001,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,2438.400046,0.015,0.015,66.9451186,-3.798,-3.858
75,78,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1676.400032,1676.400032,0.015,0.015,208.0090663,-3.658,-4.148
78,R45,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2286.000043,1828.800034,0.015,0.015,359.519526,-3.658,-4.828
C31.001,R31,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1371.600026,1524.000029,0.015,0.015,421.3824885,-3.568,-4.338
C68.001,R68,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2286.000043,2081.784039,0.015,0.015,371.9202107,-3.55,-4.28
2,1,Cond,combined,UNKN,ROAD,SUBURBS,EGG2,2133.60004,2362.200044,0.015,0.015,541.9781435,-3.51,-3.98
BR22.01,BR23.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,344.3296906,-3.478,-8.348
C15.001,R15,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1828.800034,1524.000029,0.015,0.015,284.5335089,-3.438,-3.878
120,C23.001,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,1828.800034,0.015,0.015,946.4033687,-3.378,-4.118
120,C23.001,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,1828.800034,0.015,0.015,946.4033687,-3.378,-4.118
C44.001,R44,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,1828.800034,0.015,0.015,319.07684,-3.368,-4.708
BR12.01,BR12.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,421.442686,-3.338,-7.528
E110St_3rdAve,97,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3657.600069,2438.400046,0.015,0.015,1521.169406,-3.318846227,-4.632
C67.003,C67.002,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3962.400074,2615.184049,0.015,0.015,1400.795787,-3.3,-4.48
C67.003,C67.002,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3962.400074,2615.184049,0.015,0.015,1400.795787,-3.3,-4.48
C25.001,R25,Cond,combined,UNKN,ROAD,SUBURBS,Phase II Meter 1,2438.400046,1600.20003,0.015,0.015,241.4922976,-3.258,-4.148
BR39.01,R39.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,264.7485978,-3.238,-5.818
BR21.01,R20c,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,108.3899806,-3.233,-4.205862293
BR13.01,R13.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,284.0318631,-3.188,-4.658
C60.002,C60.001,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2590.800049,0.015,0.015,464.9654773,-3.16,-4.06
BR32.01,BR31.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,349.0451613,-3.068,-7.758
C53.006,39402,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,2692.400051,0.015,0.015,848.4837393,-3.05,-4.7
66,R59.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1524.000029,1524.000029,0.015,0.015,493.8323407,-3.014075195,-5.87
BR56.01,R56.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,164.5498618,-3.01,-4.4
Meter01,C25.001,Cond,combined,UNKN,ROAD,SUBURBS,Phase II Meter 1,2438.400046,1600.20003,0.015,0.015,200.6583278,-3.01,-3.258
55,13,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1727.200032,1930.400036,0.015,0.015,1409.774261,-3,-4.26
C43.001,R43.01,Cond,combined,UNKN,ROAD,SUBURBS,RECT,710.1840134,1066.80002,0.015,0.015,166.6367084,-2.998,-3.858
BR36.01,R36.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,381.0000072,381.0000072,0.015,0.015,318.4447663,-2.978,-5.658
C55.001,R55,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1320.800025,1574.80003,0.015,0.015,302.8937459,-2.93,-3.32
E110St_LexingtonAve,E110St_3rdAve,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3657.600069,2438.400046,0.015,0.015,452.8350006,-2.928,-3.318846227
C42.001,R42,Cond,combined,UNKN,ROAD,SUBURBS,RECT,710.1840134,1066.80002,0.015,0.015,296.9241606,-2.918,-4.048
81,39893,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2895.600054,2895.600054,0.015,0.015,1103.474849,-2.848,-4.008
C40.001,R40,Cond,combined,UNKN,ROAD,SUBURBS,RECT,710.1840134,1066.80002,0.015,0.015,393.6816063,-2.828,-3.438
C47.001,R47,Cond,combined,UNKN,ROAD,SUBURBS,RECT,813.8160153,1219.200023,0.015,0.015,201.0596445,-2.768,-3.198
92,C38.001,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,2743.200052,0.015,0.015,486.0882157,-2.748,-3.938
ADS31,R07,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,2133.60004,0.015,0.015,50.16458196,-2.708,-4.978
3,2,Cond,combined,UNKN,ROAD,SUBURBS,EGG2,1371.600026,1727.200032,0.015,0.015,497.4471323,-2.67,-3.5
C11.001,R11,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1905.000036,1295.400024,0.015,0.015,414.8610928,-2.618,-3.688
C66.001,R66,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1676.400032,1676.400032,0.015,0.015,300.9874918,-2.614,-2.64
R02A,R02B,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,762.0000143,762.0000143,0.015,0.015,75.85888084,-2.558,-3.118
BR26.01,BR26.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,183.3314812,-2.548,-6.668
BR17.01,R17.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,510.1737986,-2.438,-5.128
BR54.02,R53.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,381.0000072,381.0000072,0.015,0.015,200.6583278,-2.42,-24.17
95269,120,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,1828.800034,0.015,0.015,995.4005111,-2.352,-2.548
9572120,95269,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,609.6000115,609.6000115,0.015,0.015,150.5655723,-2.32,-2.352
9572120,95269,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1219.200023,1219.200023,0.015,0.015,150.5655723,-2.32,-2.352
391255,C53.006,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,2641.70165,0.015,0.015,452.7855168,-2.26,-3.05
C13.001,R13,Cond,combined,UNKN,ROAD,SUBURBS,RECT,710.1840134,762.0000143,0.015,0.015,88.77124424,-2.248,-2.398
E106St_ParkAve,9572120,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1727.200032,1524.000029,0.015,0.015,300.552312,-2.208,-2.319632491
C65.001,R65,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1447.800027,1447.800027,0.015,0.015,94.91138907,-2.185,-1.57
E110St_ParkAve.,E110St_LexingtonAve,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3657.600069,2438.400046,0.015,0.015,583.1255382,-2.158,-2.928
C67.004,C67.003,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3962.400074,2615.184049,0.015,0.015,1103.420145,-2.11,-3.3
C67.004,C67.003,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3962.400074,2615.184049,0.015,0.015,1103.420145,-2.11,-3.3
E109St_ParkAve,E110St_ParkAve.,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,1219.200023,0.015,0.015,169.556287,-2.108,-2.158
4,3,Cond,combined,UNKN,ROAD,SUBURBS,EGG,1320.800025,1651.000031,0.015,0.015,497.6326531,-2.06,-2.67
392731,C11.001,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1524.000029,1524.000029,0.015,0.015,384.5943353,-2.048,-2.618
E95St_2ndAve,C15.001,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1828.800034,1524.000029,0.015,0.015,732.3572008,-2.018,-3.438
E110St_ParkAve_2,E110St_ParkAve.,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3657.600069,2438.400046,0.015,0.015,103.034974,-1.96088643,-2.158
C12.001,R12,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,609.6000115,609.6000115,0.015,0.015,262.7286352,-1.858,-2.608
R20b,WI19-043,Cond,combined,UNKN,ROAD,SUBURBS,RECT,457.2000086,482.6000091,0.015,0.015,313.6578513,-1.858,-4.358
c56.001,R56,Cond,combined,UNKN,ROAD,SUBURBS,RECT,812.8000153,1219.200023,0.015,0.015,549.8038183,-1.847,-2.24
C37.001,R37,Cond,combined,UNKN,ROAD,SUBURBS,RECT,711.2000134,1066.80002,0.015,0.015,327.5747202,-1.828,-4.098
39958,C60.002,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2590.800049,0.015,0.015,723.2829756,-1.76,-3.16
R01.01,R02B.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,304.8000057,304.8000057,0.015,0.015,351.954707,-1.698,-5.328
C58.001,9,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3657.600069,1905.000036,0.015,0.015,426.4992758,-1.6,-4.6
112,E106St_ParkAve,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1371.600026,1219.200023,0.015,0.015,515.7376733,-1.598,-1.698
C35.001,R35,Cond,combined,UNKN,ROAD,SUBURBS,RECT,812.8000153,1219.200023,0.015,0.015,263.9660303,-1.588,-2.698
E138thSt_NYCentralRaiRd,C58.001,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3657.600069,1905.000036,0.015,0.015,237.0871632,-1.55,-1.6
57!,c56.001,Cond,combined,UNKN,ROAD,SUBURBS,EGG,812.8000153,1219.200023,0.015,0.015,1530.856538,-1.46,-1.847
57,E138thSt_NYCentralRaiRd,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1524.000029,1524.000029,0.015,0.015,473.7344999,-1.45,-1.55
107St_ParkAve,E106St_ParkAve,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,1219.200023,0.015,0.015,280.7154799,-1.188,-1.698
C67.005,C67.004,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3962.400074,2615.184049,0.015,0.015,1061.783542,-1.13,-2.11
C67.005,C67.004,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3962.400074,2615.184049,0.015,0.015,1061.783542,-1.13,-2.11
76,81,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1676.400032,1676.400032,0.015,0.015,794.1992007,-1.128,-2.848
5,4,Cond,combined,UNKN,ROAD,SUBURBS,EGG,1270.000024,1574.80003,0.015,0.015,754.4753127,-1.11,-2.05
83,76,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2438.400046,1828.800034,0.015,0.015,234.6249012,-1.078,-1.128
C14.001,R14,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,1371.600026,0.015,0.015,174.3720869,-0.928,-3.438
BR54.01,BR54.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,381.0000072,381.0000072,0.015,0.015,273.0558525,-0.88,-2.42
39040,75,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,1828.800034,0.015,0.015,1353.523186,-0.848,-3.658
C33.001,R33,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1219.200023,1447.800027,0.015,0.015,298.0378144,-0.778,-1.838
O50.01,WI50-050,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,609.6000115,609.6000115,0.015,0.015,711.1331139,-0.778,-3.418
C48.001,R48,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,381.0000072,381.0000072,0.015,0.015,278.9150757,-0.768,-2.258
67,107St_ParkAve,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,1219.200023,0.015,0.015,146.1532505,-0.738,-1.188
BR71.02,R71.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,356.6160067,356.6160067,0.015,0.015,200.6583278,-0.73,-12.78
C39.001,R39,Cond,combined,UNKN,ROAD,SUBURBS,RECT,813.8160153,1219.200023,0.015,0.015,484.7202897,-0.628,-2.368
N700,ADS31,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,2133.60004,0.015,0.015,77.28355497,-0.618,-2.708
C60.003,39958,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3048.000057,2438.400046,0.015,0.015,604.4832126,-0.59,-1.76
C29.001,R29,Cond,combined,UNKN,ROAD,SUBURBS,RECT,812.8000153,1219.200023,0.015,0.015,494.4221198,-0.558,-3.528
C36.001,R36,Cond,combined,UNKN,ROAD,SUBURBS,RECT,711.2000134,1219.200023,0.015,0.015,266.7752469,-0.528,-2.648
91,92,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1828.800034,1524.000029,0.015,0.015,421.8467534,-0.508,-2.048
C32.001,R32,Cond,combined,UNKN,ROAD,SUBURBS,RECT,710.1840134,1219.200023,0.015,0.015,215.8882949,-0.488,-2.328
110,E110St_ParkAve.,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1219.200023,812.8000153,0.015,0.015,487.6479511,-0.458,-2.158
E112St_ParkAve.,E110St_ParkAve_2,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1219.200023,812.8000153,0.015,0.015,486.62241,-0.458,-2.158
C67.006,C67.005,Cond,combined,UNKN,ROAD,SUBURBS,"12'X 8'7"" (1639)",3657.600069,2615.184049,0.015,0.015,615.6197498,-0.45,-1.13
C67.006,C67.005,Cond,combined,UNKN,ROAD,SUBURBS,"12'X 8'7"" (1639)",3657.600069,2615.184049,0.015,0.015,615.6197498,-0.45,-1.13
69,81,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,2133.60004,2133.60004,0.015,0.015,567.5289746,-0.398,-2.848
24480,5,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1066.80002,1422.400027,0.015,0.015,610.0013167,-0.35,-1.11
C74.001,R74,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1219.200023,1219.200023,0.015,0.015,608.8976959,-0.16,-3.2
98,E110St_ParkAve_2,Cond,combined,UNKN,ROAD,SUBURBS,RECT,3657.600069,2438.400046,0.015,0.015,941.9029962,-0.158,-1.96088643
R61,R61.01,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,609.6000115,609.6000115,0.015,0.015,50.16458196,-0.13,-0.15
54,55,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1625.600031,1828.800034,0.015,0.015,1859.680018,-0.1,-3
396704,C67.004,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1244.600023,1244.600023,0.015,0.015,359.5400542,-0.08,-0.29
6,24480,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1016.000019,1346.200025,0.015,0.015,240.7899934,-0.05,-0.35
C60.004,C60.003,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2743.200052,2438.400046,0.015,0.015,309.9769849,-0.01,-0.59
BR71.01,BR71.02,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,356.6160067,356.6160067,0.015,0.015,275.9052008,0,-0.73
C18.001,R18,Cond,combined,UNKN,ROAD,SUBURBS,RECT,710.1840134,1066.80002,0.015,0.015,436.8331797,0.012,-3.008
C21.001,R21,Cond,combined,UNKN,ROAD,SUBURBS,RECT,710.1840134,1219.200023,0.015,0.015,436.7930481,0.012,-2.258
953844,98,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1828.800034,2133.60004,0.015,0.015,439.4597589,0.042,-0.158
7,6,Cond,combined,UNKN,ROAD,SUBURBS,RECT,965.2000181,1270.000024,0.015,0.015,128.4213298,0.11,-0.05
C22.001,R22,Cond,combined,UNKN,ROAD,SUBURBS,EGG,609.6000115,1066.80002,0.015,0.015,703.0064516,0.142,-2.358
2588,C67.006,Cond,combined,UNKN,ROAD,SUBURBS,132X103 (1639),3352.800063,2615.184049,0.015,0.015,1168.333114,0.41,-0.45
2588,C67.006,Cond,combined,UNKN,ROAD,SUBURBS,132X103 (1639),3352.800063,2615.184049,0.015,0.015,1168.333114,0.41,-0.45
C30.001,R30,Cond,combined,UNKN,ROAD,SUBURBS,RECT,710.1840134,1219.200023,0.015,0.015,468.0355497,0.512,-3.468
C27.001,R27,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,381.0000072,381.0000072,0.015,0.015,507.5652403,0.632,-1.588
R20cs,R20,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1219.200023,1219.200023,0.015,0.015,109.0453862,0.642,-1.358
C62.002,R62,Cond,combined,UNKN,ROAD,SUBURBS,RECT,4241.80008,3606.800068,0.015,0.015,3161.070968,0.67,-4.7
C67.007,2588,Cond,combined,UNKN,ROAD,SUBURBS,132X103 (1639),3352.800063,2616.200049,0.015,0.015,571.5416104,0.83,0.409535877
C67.007,2588,Cond,combined,UNKN,ROAD,SUBURBS,132X103 (1639),3352.800063,2616.200049,0.015,0.015,571.5416104,0.83,0.409535877
C60.005,C60.004,Cond,combined,UNKN,ROAD,SUBURBS,RECT,2743.200052,2311.298443,0.015,0.015,449.4646215,0.86,-0.01
C26.001,R26,Cond,combined,UNKN,ROAD,SUBURBS,RECT,710.1840134,1219.200023,0.015,0.015,258.4479263,0.892,-1.438
326,2588,Cond,combined,UNKN,ROAD,SUBURBS,66X69 (2588),1676.400032,1752.600033,0.015,0.015,723.4270082,0.94175692,0.409535877
1010,396704,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,1371.600026,1371.600026,0.015,0.015,159.4005937,1.01,-0.08
67,E109St_ParkAve,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1524.000029,1219.200023,0.015,0.015,490.6532703,1.022,-2.108
100,953844,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1676.400032,1524.000029,0.015,0.015,476.5848384,1.032,0.042
C54.001,R54,Cond,combined,UNKN,ROAD,SUBURBS,CIRC,457.2000086,457.2000086,0.015,0.015,257.5449638,1.04,0.42
954832,98,Cond,combined,UNKN,ROAD,SUBURBS,RECT,1676.400032,2133.60004,0.015,0.015,1240.173568,1.067643543,0.042
